observation_id,community_taxon_rank,photo_count,project_count,external_history_count,first_external_user_id,first_external_login,first_external_rank,first_external_prior_taxon_ids,most_experienced_user_id,most_experienced_login,most_experienced_rank,max_prior_taxon_ids,zero_experience_external_ids
260277338,subgenus,2,0,3,3916,sandyrae,genus,3786,1922575,gerrit_oehm,subgenus,57771,0
260277353,species,1,0,1,7179915,sirhck,species,17457,7179915,sirhck,species,17457,0
260279056,species,2,0,2,1547979,paulbowyer,species,81,5521474,chaym_turak,species,14970,0
260286474,species,2,0,2,7179915,sirhck,species,17521,3565390,matthewvosper,species,138896,0
260318564,subfamily,1,0,1,1976574,catherine_g,genus,142156,1976574,catherine_g,genus,142156,0
260426407,species,2,5,1,1976574,catherine_g,species,142179,1976574,catherine_g,species,142179,0
260439382,,1,5,0,,,,,,,,,0
260395314,genus,12,0,1,11700,phycus,genus,22605,11700,phycus,genus,22605,0
260572012,genus,1,0,1,11700,phycus,genus,25652,11700,phycus,genus,25652,0
260612179,species,1,0,1,7179915,sirhck,species,18302,7179915,sirhck,species,18302,0
260618029,,1,0,0,,,,,,,,,0
260687860,,3,0,0,,,,,,,,,0
260700096,species,1,0,2,5384547,exonie,species,10202,396990,kostaszontanos,species,68206,0
260703598,genus,1,0,2,3380195,enricotosto96,genus,4373,11700,phycus,genus,25541,0
260756354,complex,1,0,1,1976574,catherine_g,complex,142366,1976574,catherine_g,complex,142366,0
260801320,,1,0,0,,,,,,,,,0
260803486,species,2,0,1,2883211,rkl,species,33983,2883211,rkl,species,33983,0
260806226,,1,0,0,,,,,,,,,0
260824086,species,1,0,2,7179915,sirhck,species,18508,7179915,sirhck,species,18508,0
260828018,genus,2,1,3,5934861,traianbertau,genus,6057,5934861,traianbertau,genus,6057,0
260845073,order,1,1,1,1549899,primel,family,142,1549899,primel,family,142,0
260868439,genus,1,0,1,382941,lrubio7,genus,6472,382941,lrubio7,genus,6472,0
260877749,order,2,0,3,8900142,lizard-of-oz,stateofmatter,0,7257623,ornatus,subfamily,341,1
260898318,species,1,0,2,1922575,gerrit_oehm,species,39401,1922575,gerrit_oehm,species,39401,0
260914912,species,1,1,2,1976574,catherine_g,species,142608,1976574,catherine_g,species,142608,0
260957623,species,1,0,1,1976574,catherine_g,species,142630,1976574,catherine_g,species,142630,0
260973439,species,1,0,1,5545056,snsso,species,1,5545056,snsso,species,1,0
261023566,genus,4,0,1,10531466,coldrefrigerator,complex,532,10531466,coldrefrigerator,complex,532,0
261089362,species,2,0,1,222137,reiner,species,4413,222137,reiner,species,4413,0
261090198,,1,0,0,,,,,,,,,0
261187447,species,1,0,1,191857,johnklymko,species,10378,191857,johnklymko,species,10378,0
261197864,species,1,3,1,18701,apgarm,species,107,18701,apgarm,species,107,0
261222749,complex,1,0,2,1163777,trinaroberts,complex,231096,1163777,trinaroberts,complex,231096,0
261298822,species,3,0,1,10531466,coldrefrigerator,species,3398,10531466,coldrefrigerator,species,3398,0
261318262,complex,1,0,1,3565390,matthewvosper,complex,246973,3565390,matthewvosper,complex,246973,0
261415063,genus,1,0,1,11700,phycus,genus,25276,11700,phycus,genus,25276,0
261429609,species,2,0,2,396990,kostaszontanos,species,69867,3565390,matthewvosper,species,184103,0
261543375,species,1,0,1,5521474,chaym_turak,species,15573,5521474,chaym_turak,species,15573,0
261580323,species,3,0,3,8481227,dredshark,genus,14,5797918,angerwhale,genus,103,0
261606235,species,4,0,1,5521474,chaym_turak,species,15608,5521474,chaym_turak,species,15608,0
261633501,species,1,1,1,1976574,catherine_g,species,142937,1976574,catherine_g,species,142937,0
261731522,species,1,0,3,3565390,matthewvosper,species,140991,3565390,matthewvosper,species,140991,0
261737148,species,3,0,2,396990,kostaszontanos,species,70647,396990,kostaszontanos,species,70647,0
261754628,species,1,0,1,5970586,michelcournoyer,species,149,5970586,michelcournoyer,species,149,0
261770522,species,1,0,1,1976574,catherine_g,species,142708,1976574,catherine_g,species,142708,0
261818591,species,1,2,1,8195879,ssttt,species,6,8195879,ssttt,species,6,0
261984876,genus,1,0,3,5521474,chaym_turak,genus,15653,5521474,chaym_turak,genus,15653,1
261986070,,1,0,0,,,,,,,,,0
261999633,species,1,0,3,7179915,sirhck,species,19480,7179915,sirhck,species,19480,0
262043880,,4,0,0,,,,,,,,,0
262109393,genus,3,0,2,11700,phycus,genus,23853,11700,phycus,genus,23853,0
262130786,genus,1,0,1,472970,upupa-epops,genus,32044,472970,upupa-epops,genus,32044,0
262144062,genus,1,0,1,3380195,enricotosto96,genus,4405,3380195,enricotosto96,genus,4405,0
262242678,,3,0,0,,,,,,,,,0
262322064,species,5,0,1,7179915,sirhck,species,19704,7179915,sirhck,species,19704,0
262344969,,1,0,0,,,,,,,,,0
262354101,tribe,1,0,1,7179915,sirhck,tribe,19763,7179915,sirhck,tribe,19763,0
262359156,,1,0,0,,,,,,,,,0
262463228,,3,0,0,,,,,,,,,0
262496842,species,1,1,3,3069707,bdagley,family,1125,3069707,bdagley,species,1239,0
262574994,,2,0,0,,,,,,,,,0
262576304,species,2,0,1,8254636,muhummedh,species,71,8254636,muhummedh,species,71,0
262619671,species,1,0,1,58307,steve_kerr,species,3656,58307,steve_kerr,species,3656,0
262649724,species,1,0,1,2859524,gecko9,species,241,2859524,gecko9,species,241,0
262723481,tribe,3,1,4,3380195,enricotosto96,tribe,4415,11700,phycus,tribe,24277,0
262726846,genus,1,0,1,11700,phycus,genus,24270,11700,phycus,genus,24270,0
262797591,species,2,0,1,7179915,sirhck,species,20001,7179915,sirhck,species,20001,0
262803647,species,1,0,2,7179915,sirhck,species,20007,396990,kostaszontanos,species,72895,0
262817326,species,1,0,2,7179915,sirhck,species,20012,396990,kostaszontanos,species,72938,0
262851221,genus,1,0,1,11700,phycus,genus,24641,11700,phycus,genus,24641,0
262867112,species,2,0,1,1976574,catherine_g,species,142814,1976574,catherine_g,species,142814,0
262868896,species,3,0,2,396990,kostaszontanos,species,73206,396990,kostaszontanos,species,73206,0
263000387,,1,0,0,,,,,,,,,0
263096544,genus,4,0,2,7805427,mtart2120,genus,42,11700,phycus,genus,24782,0
263096868,species,2,0,1,1976574,catherine_g,species,142906,1976574,catherine_g,species,142906,0
263107724,,2,0,0,,,,,,,,,0
263134452,species,1,0,1,2325264,michaelcincotta,species,134,2325264,michaelcincotta,species,134,0
263145951,species,1,0,2,2883211,rkl,species,34403,2883211,rkl,species,34403,0
263148759,species,1,0,2,747360,dhricenak,species,468,5521474,chaym_turak,species,15887,0
263356841,tribe,1,0,1,528996,kevin_cheng,species,1751,528996,kevin_cheng,species,1751,0
263370643,genus,14,0,2,927137,josev_ge,genus,612,5523157,wasplover,genus,972,0
263399498,species,1,0,1,7179915,sirhck,species,21064,7179915,sirhck,species,21064,0
263436997,,1,0,0,,,,,,,,,0
263467514,species,1,0,4,7179915,sirhck,genus,21095,11700,phycus,species,27102,0
263474362,,5,0,0,,,,,,,,,0
263488652,species,1,0,1,2883211,rkl,species,34466,2883211,rkl,species,34466,0
263620113,,4,0,1,11700,phycus,genus,25136,11700,phycus,genus,25136,0
263621287,species,2,0,1,11700,phycus,species,25135,11700,phycus,species,25135,0
263636509,,1,0,0,,,,,,,,,0
263651200,,20,0,0,,,,,,,,,0
263657079,species,2,0,4,7179915,sirhck,genus,21543,1674710,flo-dycob,species,31167,0
263675508,species,1,0,1,11700,phycus,species,25083,11700,phycus,species,25083,0
263758248,genus,6,0,1,1674710,flo-dycob,genus,31226,1674710,flo-dycob,genus,31226,0
263781977,species,3,0,1,7179915,sirhck,species,21631,7179915,sirhck,species,21631,0
263782864,species,5,0,1,3565390,matthewvosper,species,148163,3565390,matthewvosper,species,148163,0
263855429,species,1,0,2,11700,phycus,species,25623,11700,phycus,species,25623,0
263855438,,1,0,0,,,,,,,,,0
264023438,species,1,0,4,7179915,sirhck,genus,22086,1976574,catherine_g,species,143413,0
264037849,genus,3,0,4,8930299,anakinhass,family,0,7257623,ornatus,genus,242,2
264117364,genus,1,0,1,1976574,catherine_g,genus,143419,1976574,catherine_g,genus,143419,0
264139835,species,1,0,1,7179915,sirhck,species,22427,7179915,sirhck,species,22427,0
264158504,genus,14,1,2,11700,phycus,genus,25556,1976574,catherine_g,species,143456,0
264343413,,3,0,0,,,,,,,,,0
264494740,species,1,0,1,11700,phycus,species,26148,11700,phycus,species,26148,0
264721195,species,1,0,3,396990,kostaszontanos,species,73969,396990,kostaszontanos,species,73969,0
264845400,species,1,1,1,796280,eleggua,species,41,796280,eleggua,species,41,0
264980952,species,1,0,1,472970,upupa-epops,species,31953,472970,upupa-epops,species,31953,0
264989323,subfamily,7,0,1,11700,phycus,subtribe,26026,11700,phycus,subtribe,26026,0
265300422,,2,0,0,,,,,,,,,0
265346198,species,1,0,1,11700,phycus,species,25936,11700,phycus,species,25936,0
265349303,species,1,1,1,11700,phycus,species,25935,11700,phycus,species,25935,0
265401547,genus,2,0,2,5934861,traianbertau,genus,6166,5934861,traianbertau,genus,6166,0
265525189,genus,2,0,1,11700,phycus,species,26310,11700,phycus,species,26310,0
265571348,species,8,0,3,11700,phycus,genus,26205,11700,phycus,genus,26205,0
265611291,species,1,0,1,1416674,rhondab77,species,33,1416674,rhondab77,species,33,0
265633553,genus,3,0,2,1976574,catherine_g,genus,144130,1976574,catherine_g,genus,144130,0
265646892,genus,2,1,1,1976574,catherine_g,complex,144151,1976574,catherine_g,complex,144151,0
265788651,species,2,0,1,11700,phycus,species,26214,11700,phycus,species,26214,0
265804636,species,1,0,2,7179915,sirhck,species,23327,11700,phycus,species,26298,0
265876178,species,2,0,1,2883211,rkl,species,34778,2883211,rkl,species,34778,0
266030360,species,1,1,2,1976574,catherine_g,species,144394,1976574,catherine_g,species,144394,0
266079729,,1,0,0,,,,,,,,,0
266235924,tribe,1,0,2,3465995,moira_fitzpatrick,tribe,127,3465995,moira_fitzpatrick,tribe,127,1
266371059,species,1,0,1,5521474,chaym_turak,species,16572,5521474,chaym_turak,species,16572,0
266375189,family,1,0,1,1775198,frankvdm,species,154,1775198,frankvdm,species,154,0
266466854,family,3,0,1,5384547,exonie,genus,10266,5384547,exonie,genus,10266,0
266473708,species,1,0,1,11700,phycus,species,26661,11700,phycus,species,26661,0
266535149,species,1,0,1,1976574,catherine_g,species,144544,1976574,catherine_g,species,144544,0
266591481,,6,0,0,,,,,,,,,0
266709142,genus,1,2,1,1976574,catherine_g,species,144661,1976574,catherine_g,species,144661,0
266583264,tribe,1,0,1,528996,kevin_cheng,genus,1684,528996,kevin_cheng,genus,1684,0
266709032,species,1,0,2,7179915,sirhck,species,23795,7179915,sirhck,species,23795,0
266735005,species,1,0,1,7179915,sirhck,species,23842,7179915,sirhck,species,23842,0
266748085,species,3,0,2,4472993,jballam,species,2716,7179915,sirhck,species,23878,0
266767751,species,5,0,1,8007661,aloysius56,species,22,8007661,aloysius56,species,22,0
266840191,tribe,1,0,1,1976574,catherine_g,complex,144821,1976574,catherine_g,complex,144821,0
266852886,species,11,0,1,2663055,b_louboutin,species,1063,2663055,b_louboutin,species,1063,0
266886872,species,1,0,2,5521474,chaym_turak,species,17499,5521474,chaym_turak,species,17499,0
266915638,species,3,0,1,396990,kostaszontanos,species,74977,396990,kostaszontanos,species,74977,0
266949103,species,1,0,3,7179915,sirhck,species,24032,2883211,rkl,species,34887,0
266958341,species,1,0,2,7179915,sirhck,species,24064,7179915,sirhck,species,24064,0
266998022,tribe,4,0,1,1976574,catherine_g,species,144934,1976574,catherine_g,species,144934,0
267044097,species,5,0,3,3097997,bitsnbirds,genus,524,3565390,matthewvosper,species,175805,0
267104740,genus,1,0,1,3565390,matthewvosper,species,202449,3565390,matthewvosper,species,202449,0
267127713,,1,0,0,,,,,,,,,0
267139031,species,4,1,1,1976574,catherine_g,species,144995,1976574,catherine_g,species,144995,0
267142320,species,3,1,1,1976574,catherine_g,species,145027,1976574,catherine_g,species,145027,0
267182059,,3,0,0,,,,,,,,,0
267222551,species,1,0,2,7179915,sirhck,species,24158,396990,kostaszontanos,species,75033,0
267224988,genus,1,1,1,1976574,catherine_g,species,145777,1976574,catherine_g,species,145777,0
267247085,,1,0,0,,,,,,,,,0
267364044,species,1,1,3,5920757,co7,species,263,396990,kostaszontanos,species,75101,0
267384667,tribe,1,0,3,5521474,chaym_turak,subfamily,17029,5521474,chaym_turak,subfamily,17029,1
267407165,family,4,0,2,2538017,hmheinz,family,249,1976574,catherine_g,species,145204,0
267431504,,1,0,0,,,,,,,,,0
267456251,species,4,0,1,11700,phycus,species,27005,11700,phycus,species,27005,0
267517738,species,3,0,2,1976574,catherine_g,species,145192,1976574,catherine_g,species,145192,0
267580891,species,2,0,1,58307,steve_kerr,species,3767,58307,steve_kerr,species,3767,0
267679429,species,1,0,1,11700,phycus,species,27260,11700,phycus,species,27260,0
267686079,species,1,1,1,396990,kostaszontanos,species,75318,396990,kostaszontanos,species,75318,0
267800034,subfamily,1,0,1,7179915,sirhck,tribe,24444,7179915,sirhck,tribe,24444,0
267878796,species,2,0,1,8855956,glume,species,26,8855956,glume,species,26,0
267882296,genus,1,0,2,3919397,daniel_schelesky,family,1358,3380195,enricotosto96,genus,4502,0
267923976,species,1,0,1,7179915,sirhck,species,24386,7179915,sirhck,species,24386,0
267926948,species,1,0,1,2883211,rkl,species,35148,2883211,rkl,species,35148,0
267941539,,3,0,0,,,,,,,,,0
268275121,,1,0,0,,,,,,,,,0
268384596,tribe,1,0,1,1976574,catherine_g,tribe,145655,1976574,catherine_g,tribe,145655,0
268396718,species,3,0,1,7179915,sirhck,species,24645,7179915,sirhck,species,24645,0
268439979,genus,1,0,1,1976574,catherine_g,genus,146234,1976574,catherine_g,genus,146234,0
268513810,species,3,0,2,3565390,matthewvosper,species,200416,3565390,matthewvosper,species,200416,0
268549308,,1,0,0,,,,,,,,,0
268630035,species,3,1,1,1976574,catherine_g,species,145899,1976574,catherine_g,species,145899,0
268697523,species,1,0,2,7179915,sirhck,species,24785,396990,kostaszontanos,species,76047,0
268703560,,2,0,0,,,,,,,,,0
268761534,species,2,0,1,2883211,rkl,species,35448,2883211,rkl,species,35448,0
268991533,species,3,0,2,1976574,catherine_g,species,146161,1976574,catherine_g,species,146161,0
268997088,genus,1,0,2,2883211,rkl,genus,35574,2883211,rkl,genus,35574,0
269078203,species,1,1,1,1976574,catherine_g,species,146318,1976574,catherine_g,species,146318,0
269318319,species,1,0,2,2883211,rkl,species,35691,2883211,rkl,species,35691,0
269425258,,1,0,0,,,,,,,,,0
269436894,species,1,0,1,7179915,sirhck,species,25310,7179915,sirhck,species,25310,0
269470733,species,4,0,1,7179915,sirhck,species,25325,7179915,sirhck,species,25325,0
269583701,species,2,0,1,8529011,bigmancahill,species,6,8529011,bigmancahill,species,6,0
269646915,genus,1,0,1,3565390,matthewvosper,genus,174615,3565390,matthewvosper,genus,174615,0
269815314,species,1,0,1,7179915,sirhck,species,25510,7179915,sirhck,species,25510,0
270051334,species,1,0,1,11700,phycus,species,27589,11700,phycus,species,27589,0
270138344,species,1,0,1,396990,kostaszontanos,species,76429,396990,kostaszontanos,species,76429,0
270170932,genus,2,0,2,8204969,adam_leigh_,genus,2228,3565390,matthewvosper,genus,158854,0
270209310,,1,0,0,,,,,,,,,0
270250738,,2,0,0,,,,,,,,,0
270273125,species,1,0,4,396990,kostaszontanos,genus,76444,396990,kostaszontanos,species,76445,0
270471914,species,3,0,1,396990,kostaszontanos,species,76679,396990,kostaszontanos,species,76679,0
270491929,species,3,1,1,1976574,catherine_g,species,146968,1976574,catherine_g,species,146968,0
270512811,tribe,1,0,1,382941,lrubio7,genus,6596,382941,lrubio7,genus,6596,0
270702443,species,1,0,1,1976574,catherine_g,species,147036,1976574,catherine_g,species,147036,0
270924358,species,2,0,1,7179915,sirhck,species,74422,7179915,sirhck,species,74422,0
271099846,species,1,0,1,1976574,catherine_g,species,147646,1976574,catherine_g,species,147646,0
271444756,,5,0,0,,,,,,,,,0
271551404,species,1,1,2,1976574,catherine_g,species,147909,1163777,trinaroberts,species,231423,0
271559312,,3,1,0,,,,,,,,,0
271569547,species,1,0,2,3565390,matthewvosper,species,186474,3565390,matthewvosper,species,186474,0
271668984,species,2,0,1,3565390,matthewvosper,species,183195,3565390,matthewvosper,species,183195,0
271794188,species,2,1,2,1976574,catherine_g,species,147341,1976574,catherine_g,species,147341,0
271891247,species,1,0,1,1976574,catherine_g,species,147377,1976574,catherine_g,species,147377,0
272011885,,2,0,0,,,,,,,,,0
272079774,genus,3,0,2,1163777,trinaroberts,genus,235295,1163777,trinaroberts,genus,235295,0
272092983,species,2,0,1,1163777,trinaroberts,species,236683,1163777,trinaroberts,species,236683,0
272170459,species,4,0,1,1163777,trinaroberts,species,235268,1163777,trinaroberts,species,235268,0
272436293,species,1,0,1,2883211,rkl,species,36712,2883211,rkl,species,36712,0
272645098,tribe,1,0,4,1858505,lrussoutk,order,658,5523157,wasplover,genus,1435,0
272820365,species,1,0,1,1976574,catherine_g,species,148090,1976574,catherine_g,species,148090,0
272844652,species,2,0,1,349183,joemdo,species,525,349183,joemdo,species,525,0
273174158,species,2,0,1,7179915,sirhck,species,62659,7179915,sirhck,species,62659,0
273221394,species,6,0,1,2883211,rkl,species,36988,2883211,rkl,species,36988,0
273238378,,4,0,0,,,,,,,,,0
273324331,,4,0,1,1858505,lrussoutk,subfamily,637,1858505,lrussoutk,subfamily,637,0
273587974,,2,0,0,,,,,,,,,0
273802438,,1,0,1,7679729,hellviskamacaro,family,9,7679729,hellviskamacaro,family,9,0
273811017,,4,0,0,,,,,,,,,0
273923562,,1,0,0,,,,,,,,,0
273977038,species,1,0,1,1976574,catherine_g,species,148445,1976574,catherine_g,species,148445,0
274060998,species,1,0,1,1163777,trinaroberts,species,231831,1163777,trinaroberts,species,231831,0
274113441,species,1,0,1,1976574,catherine_g,species,148407,1976574,catherine_g,species,148407,0
274167599,species,1,0,1,5521474,chaym_turak,species,18980,5521474,chaym_turak,species,18980,0
274426002,species,1,0,1,7179915,sirhck,species,27162,7179915,sirhck,species,27162,0
274491442,genus,1,0,2,7463119,kristianoevrum,genus,8151,3565390,matthewvosper,genus,216027,0
274729878,species,1,0,2,1976574,catherine_g,species,148814,1163777,trinaroberts,species,233612,0
274784638,tribe,1,1,1,1163777,trinaroberts,tribe,233636,1163777,trinaroberts,tribe,233636,0
274802538,species,2,0,1,1791447,acclivity,species,11396,1791447,acclivity,species,11396,0
274833755,species,1,0,1,7179915,sirhck,species,27265,7179915,sirhck,species,27265,0
274843237,,1,0,0,,,,,,,,,0
274858828,species,2,0,2,2883211,rkl,species,37168,2883211,rkl,species,37168,0
274871083,,1,0,1,3599717,rudolphous,subfamily,1468,3599717,rudolphous,subfamily,1468,0
274934289,genus,2,0,1,3848490,kozue,species,120,3848490,kozue,species,120,0
275004172,,1,0,0,,,,,,,,,0
275028836,species,2,0,1,5418077,psarabdo,species,333,5418077,psarabdo,species,333,0
275171881,species,1,1,1,1163777,trinaroberts,species,232030,1163777,trinaroberts,species,232030,0
275387093,species,1,0,1,2883211,rkl,species,37229,2883211,rkl,species,37229,0
275387926,genus,1,0,1,3565390,matthewvosper,genus,191501,3565390,matthewvosper,genus,191501,0
275554975,,3,0,0,,,,,,,,,0
275619123,species,3,0,1,960916,szucsich,species,58386,960916,szucsich,species,58386,0
275917553,,1,0,0,,,,,,,,,0
276325895,,1,0,0,,,,,,,,,0
276508818,,3,0,0,,,,,,,,,0
276517834,species,3,0,1,3565390,matthewvosper,species,176595,3565390,matthewvosper,species,176595,0
276790372,species,1,0,1,1976574,catherine_g,species,149544,1976574,catherine_g,species,149544,0
276982400,species,1,0,2,5934861,traianbertau,species,6697,5934861,traianbertau,species,6697,0
277044773,species,1,0,2,7179915,sirhck,species,27816,7179915,sirhck,species,27816,0
277541867,species,1,0,1,747360,dhricenak,species,534,747360,dhricenak,species,534,0
277713513,species,1,0,1,8204969,adam_leigh_,species,4616,8204969,adam_leigh_,species,4616,0
277723724,species,1,0,1,7179915,sirhck,species,28266,7179915,sirhck,species,28266,0
277733002,species,4,0,2,1976574,catherine_g,species,155807,1976574,catherine_g,species,155807,0
277857917,tribe,2,0,1,3565390,matthewvosper,tribe,154456,3565390,matthewvosper,tribe,154456,0
277934180,,1,0,0,,,,,,,,,0
277978971,species,2,0,1,7179915,sirhck,species,28232,7179915,sirhck,species,28232,0
277995621,genus,3,0,2,7179915,sirhck,genus,28294,1922575,gerrit_oehm,subgenus,58186,0
278114659,species,1,0,1,3565390,matthewvosper,species,183584,3565390,matthewvosper,species,183584,0
278174635,species,1,0,2,7179915,sirhck,species,49976,7179915,sirhck,species,49976,0
278230297,species,1,0,1,7179915,sirhck,species,28414,7179915,sirhck,species,28414,0
278533583,species,2,0,1,1976574,catherine_g,species,151062,1976574,catherine_g,species,151062,0
278584861,species,2,0,2,8738408,jeroenvansoolingen,species,515,8738408,jeroenvansoolingen,species,515,0
278703254,species,2,0,1,3565390,matthewvosper,species,175141,3565390,matthewvosper,species,175141,0
