observation_id,outcome_group,community_taxon_rank,photo_count,project_count,history_id_count,current_id_count,withdrawn_id_count,owner_history_count,external_history_count,first_owner_rank,final_owner_rank,owner_rank_changed,first_external_rank,first_external_category,first_external_disagreement,first_species_by,first_species_current,historical_maverick,historical_disagreement,hours_post_to_first_owner,hours_post_to_first_external,hours_post_to_first_species,hours_post_to_first_external_species,hours_owner_to_first_external
257349695,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,21.18,0.0,21.18,21.18
257360639,species,species,3,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,5.09,0.0,5.09,5.09
257361987,species,species,5,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,4.84,0.0,4.84,4.84
257366181,species,species,7,0,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,0.62,0.62,0.62,0.62
257368748,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.28,0.0,1.28,1.28
257382091,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2999.48,0.0,2999.48,2999.48
257384934,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,8834.25,0.0,8834.25,8834.25
257389692,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257408602,genus,genus,1,0,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,2.96,2.96,2.96,2.96
257454494,none,,2,0,1,1,0,1,0,family,family,False,,,,,,False,False,0.0,,,,
257476342,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.81,0.0,0.81,0.81
257547089,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.06,0.0,0.06,0.06
257558280,other,subfamily,1,0,2,2,0,1,1,subfamily,subfamily,False,subfamily,supporting,False,,,False,False,0.0,0.77,,,0.77
257576542,none,,6,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
257651680,species,species,1,0,4,4,0,1,3,subclass,subclass,False,family,improving,False,external,True,False,False,0.0,0.26,2.78,2.78,0.26
257687135,species,species,3,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,849.52,0.0,849.52,849.52
257690249,species,species,8,0,5,4,1,2,3,suborder,species,True,order,improving,True,external,True,True,True,0.0,2.04,10.44,10.44,2.04
257771194,species,species,1,0,4,2,2,3,1,class,species,True,species,improving,False,external,True,False,False,0.0,1.76,1.76,1.76,1.76
257885670,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
257950534,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,19.61,0.0,19.61,19.61
257970027,other,family,5,0,2,2,0,1,1,family,family,False,genus,leading,False,,,False,False,0.0,156.99,,,156.99
258127646,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
258223520,species,species,1,0,4,3,1,2,2,family,genus,True,species,improving,False,external,True,False,False,0.0,0.25,0.25,0.25,0.25
258261846,species,species,3,3,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,11.0,0.0,11.0,11.0
258285608,other,family,1,0,3,3,0,1,2,order,order,False,family,improving,False,,,False,False,0.0,1.05,,,1.05
258323038,species,species,1,0,5,4,1,2,3,genus,species,True,genus,supporting,False,external,True,False,False,0.0,0.77,0.96,0.96,0.77
258323843,genus,genus,4,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,0.81,,,0.81
258337088,species,species,3,2,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,0.04,0.04,0.04,0.04
258343683,species,species,1,1,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.63,0.0,0.63,0.63
258336049,species,species,3,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.36,0.0,1.36,1.36
258359758,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,12.33,0.0,12.33,12.33
258387487,genus,genus,4,0,5,5,0,1,4,species,species,False,genus,improving,False,owner,True,False,True,0.0,122.8,0.0,,122.8
258507575,none,,2,1,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
258515005,none,,3,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
258490756,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.74,0.0,2.74,2.74
258581818,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
258591287,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.03,0.0,0.03,0.03
258682869,none,,6,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
258683777,species,species,8,1,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,414.81,0.0,414.81,414.81
258814678,genus,genus,1,0,4,4,0,1,3,species,species,False,genus,improving,True,owner,True,True,True,0.0,10.34,0.0,,10.34
258819594,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
258881244,species,species,2,1,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,405.65,0.0,405.65,405.65
258929116,species,species,4,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.2,0.0,2.2,2.2
259207835,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
259223745,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,14.9,0.0,14.9,14.9
259295568,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,11.13,0.0,11.13,11.13
259314650,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.35,0.0,0.35,0.35
259331458,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,734.49,0.0,734.49,734.49
259350955,genus,genus,1,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,3.72,,,3.72
259356543,species,species,1,1,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.52,0.0,0.52,0.52
259364296,other,subtribe,1,1,2,2,0,1,1,genus,genus,False,genus,leading,True,,,False,True,0.0,17.23,,,17.23
259416984,species,species,3,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,9168.96,0.0,9168.96,9168.96
259419924,species,species,1,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,8097.01,8097.01,8097.01,8097.01
259504002,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,83.95,0.0,83.95,83.95
259560114,species,species,2,1,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.05,0.0,0.05,0.05
259616605,none,,3,0,1,1,0,1,0,family,family,False,,,,,,False,False,0.0,,,,
259680763,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.09,0.0,2.09,2.09
259694318,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
259768742,none,,1,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
259801373,genus,genus,2,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,43.37,,,43.37
259915040,genus,genus,1,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,5.03,,,5.03
259927698,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.31,0.0,1.31,1.31
259944032,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,4.36,,,4.36
259958012,species,species,1,0,4,3,1,2,2,genus,species,True,species,improving,False,external,True,False,False,0.0,0.35,0.35,0.35,0.35
260001878,species,species,4,0,4,3,1,2,2,genus,species,True,genus,supporting,False,external,True,False,False,0.0,0.2,18.71,18.71,0.2
260022035,other,order,2,0,2,2,0,1,1,order,order,False,species,leading,False,external,True,False,False,0.0,1.16,1.16,1.16,1.16
260073973,genus,genus,1,0,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,2.59,2.59,2.59,2.59
260175815,species,species,1,0,3,3,0,1,2,family,family,False,species,improving,False,external,True,False,False,0.0,3.19,3.19,3.19,3.19
260195722,none,,0,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
260269406,species,species,5,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,0.75,0.75,0.75,0.75
260277338,other,subgenus,2,0,5,4,1,2,3,genus,subgenus,True,genus,supporting,False,,,False,False,0.0,10.11,,,10.11
260277353,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.91,0.0,1.91,1.91
260279056,species,species,2,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.5,0.0,0.5,0.5
260286474,species,species,2,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,12.19,12.19,12.19,12.19
260318564,other,subfamily,1,0,2,2,0,1,1,species,species,False,genus,leading,True,owner,True,False,True,0.0,21.29,0.0,,21.29
260426407,species,species,2,5,3,2,1,2,1,species,species,False,species,supporting,False,owner,False,False,False,0.0,0.13,0.0,0.13,0.13
260439382,none,,1,5,2,1,1,2,0,genus,species,True,,,,owner,True,False,False,0.0,,0.07,,
260395314,genus,genus,12,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,54.57,,,54.57
260572012,genus,genus,1,0,3,2,1,2,1,species,genus,True,genus,supporting,False,owner,False,False,False,0.0,758.05,0.0,,758.05
260612179,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.58,0.0,2.58,2.58
260618029,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
260687860,none,,3,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
260700096,species,species,1,0,4,3,1,2,2,order,species,True,species,improving,False,external,True,False,False,0.0,2.46,2.46,2.46,2.46
260703598,genus,genus,1,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,0.25,,,0.25
260756354,other,complex,1,0,3,2,1,2,1,genus,complex,True,complex,improving,True,,,True,True,0.0,19.79,,,19.79
260801320,none,,1,0,1,1,0,1,0,tribe,tribe,False,,,,,,False,False,0.0,,,,
260803486,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.48,0.0,3.48,3.48
260806226,none,,1,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
260824086,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.39,0.0,0.39,0.39
260828018,genus,genus,2,1,5,4,1,2,3,species,genus,True,genus,improving,True,owner,False,True,True,0.0,62.64,0.0,,62.64
260845073,other,order,1,1,2,2,0,1,1,order,order,False,family,leading,False,,,False,False,0.0,0.43,,,0.43
260868439,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,7.08,,,7.08
260877749,other,order,2,0,5,3,2,2,3,stateofmatter,,True,stateofmatter,improving,,,,False,False,51.17,3.32,,,-47.85
260898318,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.47,0.0,2.47,2.47
260914912,species,species,1,1,4,3,1,2,2,genus,species,True,species,improving,True,external,True,True,True,0.0,341.58,341.58,341.58,341.58
260957623,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,332.96,0.0,332.96,332.96
260973439,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.57,0.0,0.57,0.57
261023566,genus,genus,4,0,2,2,0,1,1,genus,genus,False,complex,leading,False,,,False,False,0.0,11552.15,,,11552.15
261089362,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,121.75,0.0,121.75,121.75
261090198,none,,1,0,1,1,0,1,0,tribe,tribe,False,,,,,,False,False,0.0,,,,
261187447,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.16,0.0,1.16,1.16
261197864,species,species,1,3,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.2,0.0,0.2,0.2
261222749,other,complex,1,0,3,3,0,1,2,family,family,False,complex,improving,False,,,False,False,0.0,24.46,,,24.46
261298822,species,species,3,0,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,12733.39,12733.39,12733.39,12733.39
261318262,other,complex,1,0,3,2,1,2,1,genus,complex,True,complex,improving,False,,,False,False,0.0,12672.94,,,12672.94
261415063,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,456.6,,,456.6
261429609,species,species,2,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,10.22,10.22,10.22,10.22
261543375,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,4.56,0.0,4.56,4.56
261580323,species,species,3,0,5,3,2,2,3,family,species,True,genus,improving,False,owner,True,False,False,0.0,0.52,2.2,2.62,0.52
261606235,species,species,4,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,33.87,0.0,33.87,33.87
261633501,species,species,1,1,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,275.17,0.0,275.17,275.17
261731522,species,species,1,0,5,4,1,2,3,genus,species,True,species,improving,False,external,True,False,False,0.0,0.49,0.49,0.49,0.49
261737148,species,species,3,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.03,0.0,0.03,0.03
261754628,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,20.46,0.0,20.46,20.46
261770522,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,159.12,0.0,159.12,159.12
261818591,species,species,1,2,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,1.67,1.67,1.67,1.67
261984876,genus,genus,1,0,4,4,0,1,3,genus,genus,False,genus,supporting,False,,,False,False,0.0,0.93,,,0.93
261986070,none,,1,0,1,1,0,1,0,family,family,False,,,,,,False,False,0.0,,,,
261999633,species,species,1,0,4,4,0,1,3,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.98,0.0,1.98,1.98
262043880,none,,4,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
262109393,genus,genus,3,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,10.86,,,10.86
262130786,genus,genus,1,0,2,2,0,1,1,species,species,False,genus,improving,True,owner,True,False,True,0.0,5565.65,0.0,,5565.65
262144062,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,0.01,,,0.01
262242678,none,,3,0,2,1,1,2,0,tribe,species,True,,,,owner,True,False,False,0.0,,1407.61,,
262322064,species,species,5,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,9.02,0.0,9.02,9.02
262344969,none,,1,0,1,1,0,1,0,subfamily,subfamily,False,,,,,,False,False,0.0,,,,
262354101,other,tribe,1,0,4,2,2,3,1,genus,tribe,True,tribe,improving,False,,,False,False,0.0,8.31,,,8.31
262359156,none,,1,0,1,1,0,1,0,family,family,False,,,,,,False,False,0.0,,,,
262463228,none,,3,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
262496842,species,species,1,1,6,3,3,3,3,species,species,True,family,maverick,True,owner,False,True,True,0.0,4.91,0.0,10252.58,4.91
262574994,none,,2,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
262576304,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.81,0.0,2.81,2.81
262619671,species,species,1,0,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,0.07,0.07,0.07,0.07
262649724,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.71,0.0,3.71,3.71
262723481,other,tribe,3,1,5,4,1,1,4,family,family,False,tribe,improving,False,,,False,False,0.0,0.76,,,0.76
262726846,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,1.2,,,1.2
262797591,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.48,0.0,0.48,0.48
262803647,species,species,1,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,0.14,0.14,0.14,0.14
262817326,species,species,1,0,4,3,1,2,2,genus,species,True,species,improving,False,external,True,False,False,0.0,0.7,0.7,0.7,0.7
262851221,genus,genus,1,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,47.1,,,47.1
262867112,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.57,0.0,1.57,1.57
262868896,species,species,3,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,7.93,7.93,7.93,7.93
263000387,none,,1,0,1,1,0,1,0,tribe,tribe,False,,,,,,False,False,0.0,,,,
263096544,genus,genus,4,0,3,3,0,1,2,genus,genus,False,genus,supporting,False,,,False,False,0.0,1.29,,,1.29
263096868,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.36,0.0,3.36,3.36
263107724,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
263134452,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.92,0.0,3.92,3.92
263145951,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.02,0.0,0.02,0.02
263148759,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.09,0.0,0.09,0.09
263356841,other,tribe,1,0,2,2,0,1,1,tribe,tribe,False,species,leading,False,external,True,False,False,0.0,1973.91,1973.91,1973.91,1973.91
263370643,genus,genus,14,0,4,3,1,2,2,tribe,genus,True,genus,improving,True,,,True,True,0.0,0.25,,,0.25
263399498,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.02,0.0,0.02,0.02
263436997,none,,1,0,2,1,1,2,0,genus,species,True,,,,owner,True,False,False,0.0,,742.99,,
263467514,species,species,1,0,6,4,2,2,4,subtribe,species,True,genus,improving,False,external,True,False,False,0.0,2.22,46.14,46.14,2.22
263474362,none,,5,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
263488652,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.95,0.0,1.95,1.95
263620113,none,,4,0,2,1,1,1,1,genus,,False,genus,leading,True,,,False,True,0.0,13.85,,,13.85
263621287,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,13.68,0.0,13.68,13.68
263636509,none,,1,0,1,1,0,1,0,genus,genus,False,,,,,,False,False,0.0,,,,
263651200,none,,20,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
263657079,species,species,2,0,8,5,3,4,4,genus,species,True,genus,supporting,False,owner,False,False,False,0.0,2.04,0.65,28.65,2.04
263675508,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,5.78,0.0,5.78,5.78
263758248,genus,genus,6,0,2,2,0,1,1,genus,genus,False,genus,supporting,False,,,False,False,0.0,133.13,,,133.13
263781977,species,species,3,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.33,0.0,0.33,0.33
263782864,species,species,5,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,408.86,0.0,408.86,408.86
263855429,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,80.02,0.0,80.02,80.02
263855438,none,,1,0,1,1,0,1,0,subtribe,subtribe,False,,,,,,False,False,0.0,,,,
264023438,species,species,1,0,5,5,0,1,4,order,order,False,genus,improving,False,external,True,False,False,0.0,7.53,16.15,16.15,7.53
264037849,genus,genus,3,0,4,3,1,0,4,,,False,family,maverick,,,,True,False,,0.93,,,
264117364,genus,genus,1,0,2,2,0,1,1,species,species,False,genus,improving,True,owner,True,False,True,0.0,1.13,0.0,,1.13
264139835,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.63,0.0,0.63,0.63
264158504,genus,genus,14,1,3,3,0,1,2,family,family,False,genus,improving,False,external,True,False,False,0.0,4.14,11.14,11.14,4.14
264343413,none,,3,0,1,1,0,1,0,tribe,tribe,False,,,,,,False,False,0.0,,,,
264494740,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,187.07,0.0,187.07,187.07
264721195,species,species,1,0,4,4,0,1,3,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.08,0.0,0.08,0.08
264845400,species,species,1,1,3,2,1,2,1,genus,species,True,species,supporting,False,owner,True,False,False,0.0,1.61,0.25,1.61,1.61
264980952,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,5009.76,0.0,5009.76,5009.76
264989323,other,subfamily,7,0,2,2,0,1,1,subfamily,subfamily,False,subtribe,leading,False,,,False,False,0.0,78.31,,,78.31
265300422,none,,2,0,1,1,0,1,0,subfamily,subfamily,False,,,,,,False,False,0.0,,,,
265346198,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.63,0.0,3.63,3.63
265349303,species,species,1,1,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.96,0.0,2.96,2.96
265401547,genus,genus,2,0,4,3,1,2,2,tribe,genus,True,genus,improving,False,,,False,False,0.0,1.21,,,1.21
265525189,genus,genus,2,0,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,67.48,67.48,67.48,67.48
265571348,species,species,8,0,4,4,0,1,3,genus,genus,False,genus,supporting,False,external,True,False,False,6.79,12.2,24.36,24.36,5.41
265611291,species,species,1,0,3,2,1,2,1,family,species,True,species,supporting,False,owner,True,False,False,0.0,0.33,0.01,0.33,0.33
265633553,genus,genus,3,0,4,3,1,2,2,family,genus,True,genus,improving,False,,,False,False,0.0,1.45,,,1.45
265646892,genus,genus,2,1,2,2,0,1,1,genus,genus,False,complex,leading,False,,,False,False,0.0,0.16,,,0.16
265788651,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.75,0.0,0.75,0.75
265804636,species,species,1,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,2.62,2.62,2.62,2.62
265876178,species,species,2,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,11.98,0.0,11.98,11.98
266030360,species,species,1,1,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,1.45,1.45,1.45,1.45
266079729,none,,1,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
266235924,other,tribe,1,0,2,2,0,0,2,,,False,tribe,improving,,,,False,False,,2.79,,,
266371059,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,8.19,0.0,8.19,8.19
266375189,other,family,1,0,2,2,0,1,1,family,family,False,species,leading,False,external,True,False,False,0.0,41.53,41.53,41.53,41.53
266466854,other,family,3,0,3,2,1,2,1,class,family,True,genus,leading,False,,,False,False,0.0,12.88,,,12.88
266473708,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,5.12,0.0,5.12,5.12
266535149,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,3.08,0.0,3.08,3.08
266591481,none,,6,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
266709142,genus,genus,1,2,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,12.8,12.8,12.8,12.8
266583264,other,tribe,1,0,2,2,0,1,1,genus,genus,False,genus,leading,True,,,False,True,0.0,52.18,,,52.18
266709032,species,species,1,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.6,0.0,0.6,0.6
266735005,species,species,1,0,3,2,1,2,1,genus,species,True,species,improving,False,external,True,False,False,0.0,1.85,1.85,1.85,1.85
266748085,species,species,3,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,0.95,0.95,0.95,0.95
266767751,species,species,5,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.07,0.0,0.07,0.07
266840191,other,tribe,1,0,2,2,0,1,1,tribe,tribe,False,complex,leading,False,,,False,False,0.0,2.5,,,2.5
266852886,species,species,11,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,4114.89,0.0,4114.89,4114.89
266886872,species,species,1,0,3,3,0,1,2,genus,genus,False,species,improving,False,external,True,False,False,0.0,274.14,274.14,274.14,274.14
